Nom du site,Categorie,Adresse 1,Adresse 2,Code Postal,Ville,Numero de telephone,Email,URL,Longitude,Latitude
Bureau Municipal de Proximite Belle de Mai,Bureau de Proximite,11 rue Docteur Leon Perrin,,13003,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.38731635811777,43.3141951023031
Bureau Municipal de ProximiteSaint Joseph,Bureau de Proximite,72 rue Paul Coxe,,13014,Marseille,04 91 55 42 48,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.37616337671634,43.3483099446914
Bureau Municipal de ProximiteBonneveine,Bureau de Proximite,81 avenue de Haifa,,13008,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.38867811720563,43.2496745331802
Hotel de Ville,Hotel de ville,Quai du Port,,13002,Marseille,04 91 55 11 11,,,5.36991014009075,43.2963349719519
Bureau Municipal de Proximite Maison blanche,Bureau de Proximite,150 boulevard Paul Claudel,,13009,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.41582955361669,43.2680761695595
Bureau Municipal de Proximite Chartreux,Bureau de Proximite,9 boulevard d'Arras,,13004,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.40034683499145,43.3075004668125
Bureau Municipal de Proximite La Canebiere,Bureau de Proximite,57 allees Leon Gambetta,,13001,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.38405311562796,43.2992230656283
Bureau Municipal de Proximite Vauban,Bureau de Proximite,65 boulevard Vauban,,13006,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.37545594031634,43.2835486489877
Bureau Municipal de Proximite Mazargues,Bureau de Proximite,61-63 boulevard de la Concorde,,13009,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.40150467136624,43.2485816246154
Bureau Municipal de Proximite Saint Andre,Bureau de Proximite,415 boulevard Henri Barnier,,13016,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.342239028868,43.3575327265018
Bureau Municipal de Proximite Lodi,Bureau de Proximite,84 rue de Lodi,,13006,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.38763511149905,43.2881551750526
Bureau Municipal de Proximite Sebastopol,Bureau de Proximite,23 rue du Bosquet,,13004,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.39966078563501,43.2983488555913
Bureau Municipal de Proximite La valentine,Bureau de Proximite,294 route des Trois Lucs,,13011,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.48297667907649,43.2976304840845
Bureau Municipal de Proximite Saint Julien,Bureau de Proximite,318 avenue du 24 avril 1915,,13012,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.44291488621245,43.3107219402773
Bureau Municipal de Proximite Le Merlan,Bureau de Proximite,Avenue Jules Raimu,Centre Urbain Merlan,13014,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.39826043775168,43.3294992437877
Bureau Municipal de Proximite Saint Antoine,Bureau de Proximite,312 avenue de Saint Antoine,,13015,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.35632939523495,43.3765345198408
Bureau Municipal de Proximite Saint Georges,Bureau de Proximite,97 avenue de la Corse,,13007,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.35785661572897,43.2891103467656
Bureau Municipal de Proximite Saint Marcel,Bureau de Proximite,3 rue du 10 aout,,13011,Marseille,810813813,,http://mairie.marseille.fr/services-de-proximite/les-bureaux-municipaux-de-proximite,5.46530334609761,43.2877084697542
